sample_id,exercise,label,frame_sequence,total_frames,knee_angle_right,knee_angle_left,hip_angle_right,hip_angle_left,elbow_angle_right,elbow_angle_left,shoulder_angle_right,shoulder_angle_left,torso_length,knee_angle_right_velocity,knee_angle_left_velocity,hip_angle_right_velocity,hip_angle_left_velocity,elbow_angle_right_velocity,elbow_angle_left_velocity,shoulder_angle_right_velocity,shoulder_angle_left_velocity,knee_angle_right_acceleration
pushup_correct_1 copy 2.mp4_000,pushup,correct,1,33,167.10673597129207,165.75889985180046,161.62912921492637,164.12652953122415,94.90987860453829,86.74765164088495,6.778577532544055,1.4548835785769305,0.16732753600519268,1.4218468226571304,0.4666958115367663,1.704882163909616,0.042938842859996385,-5.928895691492954,-9.091827309919111,-5.441219045024491,-4.528118593754117,1.7226966867774536
pushup_correct_1 copy 2.mp4_000,pushup,correct,2,33,165.9978346282572,165.9391202787664,161.74083726612696,164.8283532864269,90.08909636647388,80.38346700806282,2.32052046609344,7.438369208493665,0.16886301857959762,-1.1089013430348587,0.18022042696594553,0.11170805120059413,0.7018237552027529,-4.82078223806441,-6.3641846328221305,-4.458057066450616,5.983485629916734,-2.530748165691989
pushup_correct_1 copy 2.mp4_000,pushup,correct,3,33,164.81935858924666,164.93771020528365,161.07610277595822,164.49338268498155,83.61523377841621,76.0614593164163,2.6252220156631676,11.372413439683157,0.1669609691729273,-1.1784760390105475,-1.0014100734827593,-0.6647344901687404,-0.33497060144534885,-6.473862588057671,-4.322007691646519,0.3047015495697276,3.9340442311894925,-0.06957469597568888
pushup_correct_1 copy 2.mp4_000,pushup,correct,4,33,163.85018002025495,164.85119257048987,161.2094584569743,164.32582917429932,79.52676412967111,72.18981254257059,6.401687901618498,15.039896255367246,0.16703983579292198,-0.9691785689917083,-0.08651763479377905,0.1333556810160701,-0.16755351068223945,-4.088469648745104,-3.871646773845711,3.7764658859553304,3.667482815684089,0.20929747001883925
pushup_correct_1 copy 2.mp4_000,pushup,correct,5,33,163.03120155315202,162.98282099439967,160.343093236365,163.24634738949825,74.71527988558245,69.06865429578724,10.174024296123708,18.08774112602873,0.16743670283844306,-0.8189784671029372,-1.8683715760901976,-0.866365220609282,-1.079481784801061,-4.8114842440886605,-3.1211582467833523,3.77233639450521,3.0478448706614856,0.1502001018887711
pushup_correct_1 copy 2.mp4_000,pushup,correct,6,33,163.58652681789223,161.98170759332442,160.82238219429027,162.82701753144227,71.7362871917118,65.88642748094077,12.390539162267759,20.72553383060626,0.16759747046427356,0.5553252647402189,-1.0011134010752585,0.47928895792526305,-0.4193298580559883,-2.9789926938706515,-3.182226814846473,2.216514866144051,2.637792704577528,1.3743037318431561
pushup_correct_1 copy 2.mp4_000,pushup,correct,7,33,164.69241994191702,162.20397510315144,162.80656076743966,163.61979132178897,70.86252650759496,64.17063162179093,14.07563718218674,22.426043027973623,0.1667547520405989,1.1058931240247887,0.22226750982702015,1.9841785731493928,0.7927737903467005,-0.8737606841168315,-1.7157958591498357,1.685098019918982,1.7005091973673636,0.5505678592845697
pushup_correct_1 copy 2.mp4_000,pushup,correct,8,33,164.12459040377132,162.0906955228546,161.64812041659178,162.8639813275154,68.98241623861158,62.7302057579564,14.670137731492808,23.076153094097503,0.16608101591767935,-0.5678295381457019,-0.11327958029684737,-1.1584403508478829,-0.7558099942735623,-1.8801102689833868,-1.440425863834534,0.5945005493060673,0.6501100661238794,-1.6737226621704906
pushup_correct_1 copy 2.mp4_000,pushup,correct,9,33,163.3189109072015,161.89340543236915,160.90304288876033,162.1803925390101,66.63371956622336,60.17778904287287,16.613277223237127,24.451045417671438,0.1653686099522645,-0.8056794965698089,-0.19729009048543844,-0.7450775278314552,-0.6835887885052898,-2.348696672388215,-2.552416715083531,1.9431394917443185,1.3748923235739348,-0.23784995842410694
pushup_correct_1 copy 2.mp4_000,pushup,correct,10,33,164.15555594193088,163.11722233313816,162.1942831753163,164.99471377203494,65.89891063187484,60.08796654835213,17.911006073614676,25.913257137358233,0.16538883251323439,0.8366450347293721,1.223816900769009,1.2912402865559613,2.8143212330248275,-0.7348089343485213,-0.08982249452073887,1.297728850377549,1.4622117196867954,1.642324531299181
pushup_correct_1 copy 2.mp4_000,pushup,correct,11,33,162.5215640668548,162.6659103195549,161.98556152807546,165.5007980969679,65.7904887531815,58.787933732148346,18.772510656624714,27.36489026500887,0.1649368833947076,-1.6339918750760773,-0.451312013583248,-0.20872164724082154,0.5060843249329707,-0.10842187869333486,-1.3000328162037817,0.8615045830100385,1.4516331276506378,-2.4706369098054495
pushup_correct_1 copy 2.mp4_000,pushup,correct,12,33,161.99175728339685,162.59182552997996,162.43052206114172,165.89483612350276,64.58140728532274,57.66891559071035,20.46120066068351,28.519985478057126,0.16530305317397306,-0.529806783457957,-0.0740847895749539,0.4449605330662507,0.39403802653484377,-1.2090814678587662,-1.1190181414379978,1.6886900040587953,1.1550952130482557,1.1041850916181204
pushup_correct_1 copy 2.mp4_000,pushup,correct,13,33,160.90908217709938,161.98913999708884,161.56836687524253,165.51244294850983,64.76061480867479,57.049495803378086,20.710256756631125,28.8200952783756,0.16506037828612652,-1.0826751062974722,-0.6026855328911154,-0.8621551858991836,-0.38239317499292724,0.17920752335204782,-0.6194197873322622,0.24905609594761557,0.3001098003184737,-0.5528683228395153
pushup_correct_1 copy 2.mp4_000,pushup,correct,14,33,160.04723310779505,161.49989531717372,160.83359697401434,165.20248045989376,63.58771270151469,56.2408642356855,21.392451582239485,29.08502608969335,0.16511150321651277,-0.861849069304327,-0.48924467991511733,-0.7347699012281907,-0.30996248861606546,-1.1729021071600982,-0.8086315676925864,0.6821948256083594,0.2649308113177504,0.22082603699314518
pushup_correct_1 copy 2.mp4_000,pushup,correct,15,33,159.3655046498146,161.5630851611711,160.13533990479925,164.5343034010677,63.267392739328,55.05451586169754,21.56621162665772,29.463552400924947,0.1652867466760056,-0.681728457980455,0.06318984399737815,-0.6982570692150887,-0.6681770588260747,-0.32031996218668723,-1.1863483739879612,0.17376004441823412,0.37852631123159597,0.18012061132387203
pushup_correct_1 copy 2.mp4_000,pushup,correct,16,33,158.12138443230984,160.9159874946662,159.78343452906014,164.03264450340615,63.08796539026546,54.60359631401656,21.90867566242334,29.636488820435684,0.16534535190237784,-1.2441202175047579,-0.6470976665048909,-0.35190537573910774,-0.5016588976615424,-0.17942734906254287,-0.4509195476809751,0.342464035765623,0.17293641951073724,-0.5623917595243029
pushup_correct_1 copy 2.mp4_000,pushup,correct,17,33,158.1432548261151,160.75250509231844,160.22528383642046,164.1203786574996,63.079763503349064,54.54432265136608,22.22706897711606,29.627618911588716,0.16501975033612556,0.02187039380527267,-0.16348240234776767,0.44184930736031447,0.08773415409345375,-0.008201886916396006,-0.05927366265048306,0.3183933146927167,-0.008869908846968144,1.2659906113100305
pushup_correct_1 copy 2.mp4_000,pushup,correct,18,33,158.59158944404217,160.88226983196665,160.8678880625212,164.26804108711556,63.01805360712434,54.56214473181699,22.59764221642931,29.618880301567913,0.16481255815992504,0.44833461792705975,0.12976473964820912,0.6426042261007296,0.14766242961596276,-0.06170989622472689,0.01782208045091238,0.37057323931325215,-0.008738610020802895,0.4264642241217871
pushup_correct_1 copy 2.mp4_000,pushup,correct,19,33,159.1292840493358,161.12984137917996,161.1696395732997,164.34119178306673,62.90091349605794,54.08200632163723,23.005451477573725,29.94815505314552,0.16523751240831538,0.5376946052936376,0.24757154721331176,0.3017515107785016,0.07315069595117052,-0.11714011106639788,-0.48013841017976233,0.40780926114441485,0.3292747515776071,0.0893599873665778
pushup_correct_1 copy 2.mp4_000,pushup,correct,20,33,159.09991493047414,161.27764076569503,161.0392667479056,164.38626828694785,62.84734282796045,53.3904345032236,23.045304537788525,30.48676952825468,0.16570436729573237,-0.029369118861666266,0.14779938651506086,-0.13037282539409034,0.045076503881119834,-0.05357066809748545,-0.6915718184136281,0.039853060214799285,0.5386144751091599,-0.5670637241553038
pushup_correct_1 copy 2.mp4_000,pushup,correct,21,33,159.27907380613053,161.64619965863457,160.89968548601493,164.5540153368292,62.77978768357593,53.22971107031252,22.89006754291512,30.69317439460342,0.16576722440187505,0.179158875656384,0.36855889293954647,-0.13958126189066888,0.16774704988134204,-0.06755514438452082,-0.16072343291108382,-0.15523699487340537,0.20640486634874122,0.20852799451805026
pushup_correct_1 copy 2.mp4_000,pushup,correct,22,33,159.2224105842886,161.78471741043572,160.76693772120808,164.74255597905088,62.78779006189744,53.16483416399959,22.738064607438073,30.861057455725046,0.16630812415501675,-0.056663221841915856,0.138517751801146,-0.1327477648068509,0.18854064222168176,0.008002378321506853,-0.06487690631292509,-0.15200293547704646,0.16788306112162488,-0.23582209749829985
pushup_correct_1 copy 2.mp4_000,pushup,correct,23,33,159.17020423676612,161.89463867063597,160.71089468493972,164.74947576871483,62.65709082099204,53.113893633435055,22.597059888071026,30.918230815173622,0.16664608600486422,-0.05220634752248543,0.10992126020025239,-0.05604303626836327,0.006919789663953679,-0.13069924090540042,-0.05094053056453873,-0.1410047193670465,0.05717335944857638,0.004456874319430426
pushup_correct_1 copy 2.mp4_000,pushup,correct,24,33,159.04898017329182,161.82957944597445,160.56375293464225,164.672089040809,62.874372664700886,53.19176945485817,22.281916110127582,30.856373557715788,0.16668784118722307,-0.12122406347430115,-0.0650592246615247,-0.14714175029746457,-0.07738672790583223,0.21728184370884662,0.07787582142311322,-0.31514377794344384,-0.061857257457834436,-0.06901771595181572
